stn,wban,date,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
969370,99999,2020-02-28,2020,02,28,81.9,5,76.7,5,1007.6,5,7.2,5,5.0,5,5.4,5,8.9,999.9,95.0,*,77.4,,99.99,,999.9,1,0,1,1,0,10110
766830,99999,2020-07-10,2020,07,10,64.5,5,50.0,5,1015.3,5,785.1,5,12.0,5,4.9,4,5.8,999.9,80.4,,47.7,,0.3,G,999.9,1,0,1,1,0,10110
444240,99999,2020-04-18,2020,04,18,55.0,5,45.4,5,9999.9,0,768.6,5,4.0,5,0,5,999.9,999.9,62.6,,46.9,,0.17,G,999.9,1,0,1,1,0,10110
480010,99999,2020-09-03,2020,09,03,79.5,5,75.3,5,1008.2,5,61.0,5,1.6,5,0.4,5,1,999.9,86.4,,73.4,,3.98,F,999.9,1,0,1,1,0,10110
971460,99999,2020-06-09,2020,06,09,80.7,5,76.2,5,1013.1,5,7.1,5,4.8,5,3.6,5,8,999.9,88.2,,74.8,,0.0,I,999.9,1,1,11,11,11,11
357960,99999,2020-11-16,2020,11,16,17.7,5,11.9,5,1028.6,5,983.5,5,8.7,5,7,5,11.7,999.9,28.6,*,1.8,*,99.99,,999.9,1,1,1,0,0,11100
378010,99999,2020-10-02,2020,10,02,49.3,5,40.0,5,9999.9,0,805.1,5,999.9,0,4.4,4,7.8,999.9,67.1,,35.6,,0.0,G,999.9,1,0,1,1,0,10110
480420,99999,2020-06-05,2020,06,05,84.6,5,76.9,5,1005.4,5,996.6,5,4.1,5,1.2,5,1.9,999.9,92.3,,77.7,*,0.63,F,999.9,1,0,1,1,0,10110
289780,99999,2020-04-07,2020,04,07,31.2,5,26.7,5,998.7,4,948.6,5,999.9,0,22.9,5,38.9,999.9,43.2,,23.7,*,99.99,,999.9,1,1,1,0,0,11100
605200,99999,2020-12-05,2020,12,05,45.6,5,40.2,5,1006.4,5,999.9,0,5.0,5,18.4,5,26,999.9,48.4,*,41.9,,0.31,G,999.9,1,0,1,1,0,10110
444620,99999,2020-04-14,2020,04,14,64.5,5,54.9,5,9999.9,0,826.4,5,4.3,5,2.4,5,5.1,999.9,76.1,,58.1,,1.04,G,999.9,1,0,1,1,0,10110
480420,99999,2020-05-11,2020,05,11,89.8,5,72.6,5,1006.3,5,997.6,5,4.2,5,2.4,5,5.1,999.9,104.0,*,82.4,*,0.16,F,999.9,1,0,1,1,0,10110
969330,99999,2020-11-01,2020,11,01,81.6,5,76.1,5,1009.9,5,9.4,5,5.7,5,1.6,5,6,999.9,88.2,*,75.6,,0.12,A,999.9,1,0,1,1,0,10110
420440,99999,2020-05-06,2020,05,06,58.6,5,43.2,5,9999.9,0,826.8,5,2.2,5,1,5,1.9,999.9,70.0,,44.1,,0.0,G,999.9,1,0,1,1,0,10110
480510,99999,2020-06-02,2020,06,02,83.7,5,78.0,5,9999.9,0,999.9,0,4.7,5,1.9,5,2.9,999.9,95.0,*,71.8,,1.1,E,999.9,1,0,1,1,0,10110
644540,99999,2020-07-15,2020,07,15,78.1,5,70.7,5,9999.9,0,999.9,0,5.7,5,2.8,5,6,999.9,87.8,,69.8,*,1.3,G,999.9,1,0,1,1,0,10110
480300,99999,2020-05-27,2020,05,27,62.6,5,58.4,5,9999.9,0,999.9,0,1.6,5,2.1,5,2.9,999.9,68.9,,58.5,,1.42,F,999.9,1,0,1,1,0,10110
480250,99999,2020-07-27,2020,07,27,82.5,5,79.3,5,1004.6,5,990.9,5,1.6,5,0.6,5,1,999.9,87.8,,74.1,,0.35,F,999.9,1,0,1,1,0,10110
972840,99999,2020-09-27,2020,09,27,71.9,5,66.8,5,1012.5,5,888.3,5,7.2,5,3.6,5,5.1,999.9,81.1,,59.4,,0.16,A,999.9,1,0,1,1,0,10110
480300,99999,2020-04-24,2020,04,24,62.2,5,57.1,5,9999.9,0,999.9,0,2.7,5,2.3,5,2.9,999.9,73.4,,54.1,,0.43,F,999.9,1,0,1,1,0,10110
170460,99999,2020-08-01,2020,08,01,62.6,5,53.8,5,9999.9,0,814.9,5,11.2,5,2.4,5,5.1,999.9,74.8,,50.7,,0.31,F,999.9,1,0,1,1,0,10110
764580,99999,2020-08-20,2020,08,20,82.6,6,76.4,6,1010.6,6,10.2,6,10.4,6,5.2,6,7.8,999.9,92.5,,76.5,,0.21,G,999.9,1,0,1,1,0,10110
375140,99999,2020-06-14,2020,06,14,68.5,6,52.4,6,1008.3,5,899.5,6,16.8,6,999.9,0,999.9,999.9,80.1,*,57.2,*,99.99,,999.9,1,1,0,1,0,11010
225830,99999,2020-01-04,2020,01,04,31.4,6,27.7,6,980.0,6,972.1,6,19.2,6,5.5,6,9.7,999.9,34.3,,28.2,*,0.0,H,999.9,1,1,1,0,0,11100
274170,99999,2020-02-24,2020,02,24,35.0,6,28.4,6,995.0,6,974.7,6,6.2,6,4.2,6,5.8,999.9,40.1,,30.0,*,0.04,F,0.8,1,1,1,0,0,11100
350670,99999,2020-11-12,2020,11,12,25.6,6,19.9,6,1017.1,6,988.5,6,999.9,0,8.7,6,11.7,999.9,31.1,,18.5,*,99.99,,999.9,1,0,1,0,0,10100
481100,99999,2020-06-06,2020,06,06,81.4,6,78.7,6,1008.7,6,5.8,6,2.2,6,2.6,6,4.1,999.9,87.8,,77.0,,1.06,F,999.9,1,0,1,1,0,10110
289780,99999,2020-04-14,2020,04,14,39.6,6,27.9,6,1017.6,6,969.2,6,12.4,4,11.7,5,13.6,999.9,45.3,,35.2,*,99.99,,999.9,1,0,1,0,0,10100
356870,99999,2020-11-13,2020,11,13,24.5,6,16.1,6,1027.9,6,970.1,6,999.9,0,7.8,6,11.7,999.9,28.0,,23.0,,99.99,,999.9,1,1,1,0,0,11100
481080,99999,2020-10-16,2020,10,16,80.0,6,76.9,6,1006.4,6,3.6,6,1.7,6,0.8,6,1.9,999.9,88.7,,75.2,,0.43,E,999.9,1,0,1,1,0,10110
361260,99999,2020-03-28,2020,03,28,31.5,6,24.3,6,1024.0,6,966.8,6,999.9,0,5.2,6,7.8,999.9,37.8,,25.9,*,99.99,,999.9,1,1,1,0,0,11100
415730,99999,2020-11-16,2020,11,16,41.3,6,36.0,6,9999.9,0,799.9,6,3.7,6,2.3,6,3.9,999.9,44.6,*,35.6,*,0.0,G,999.9,1,1,0,1,0,11010
481080,99999,2020-05-28,2020,05,28,79.7,6,77.6,6,1010.1,6,7.3,6,0.9,6,0.6,6,1.9,999.9,87.8,*,74.8,,0.08,E,999.9,1,0,1,1,0,10110
135900,99999,2020-07-31,2020,07,31,80.9,6,56.9,6,9999.9,0,919.5,6,12.4,6,5.5,6,5.8,999.9,91.4,,72.0,,0.0,G,999.9,1,1,0,1,0,11010
480800,99999,2020-10-27,2020,10,27,81.1,6,75.9,6,1007.8,6,6.8,6,4.8,6,0.5,6,2.9,999.9,89.6,,68.0,,1.22,F,999.9,1,0,1,1,0,10110
590870,99999,2020-03-26,2020,03,26,71.3,6,70.7,6,1012.6,6,1.2,6,4.2,6,4.1,6,15.5,999.9,81.0,,66.4,,0.53,G,999.9,1,0,1,0,0,10100
288790,99999,2020-02-23,2020,02,23,24.1,6,21.3,6,1030.6,6,1.0,6,999.9,0,4.5,6,5.8,999.9,28.4,,19.2,,99.99,,999.9,1,0,1,0,0,10100
480800,99999,2020-10-30,2020,10,30,80.9,6,76.8,6,1007.8,6,6.8,6,4.9,6,0.8,6,2.9,999.9,89.6,,71.4,,1.69,F,999.9,1,0,1,1,0,10110
683200,99999,2020-11-04,2020,11,04,76.8,6,59.6,6,9999.9,0,897.5,6,6.2,6,11,6,14,999.9,90.7,,64.4,*,0.18,G,999.9,1,0,1,1,0,10110
766750,99999,2020-03-11,2020,03,11,58.5,6,42.7,6,1012.4,6,740.7,6,8.6,6,3.1,5,3.9,999.9,75.0,*,45.0,*,0.43,B,999.9,1,0,1,1,0,10110
480800,99999,2020-06-14,2020,06,14,81.8,6,78.7,6,1005.3,6,4.3,6,4.7,6,0.2,6,1,999.9,86.4,,75.6,,1.1,E,999.9,1,0,1,1,0,10110
644580,99999,2020-06-25,2020,06,25,79.8,6,74.0,6,1008.4,6,970.0,6,6.2,6,2.4,6,6,999.9,86.0,*,73.6,,0.03,E,999.9,1,1,1,1,1,1
268550,99999,2020-01-23,2020,01,23,33.1,6,28.8,6,1020.9,6,998.8,6,10.6,6,6.2,6,9.7,999.9,35.4,,29.7,,0.02,F,0.4,1,1,1,0,0,11100
406080,99999,2020-04-03,2020,04,03,61.3,6,51.8,6,1015.3,6,999.9,0,5.4,6,8.7,4,11.7,999.9,71.6,*,49.6,,1.54,F,999.9,1,0,1,1,0,10110
432780,99999,2020-11-04,2020,11,04,83.2,6,77.7,6,1010.5,6,9.8,6,3.7,6,2.8,6,5.1,999.9,91.4,,79.2,*,0.03,G,999.9,1,0,1,1,0,10110
425120,99999,2020-03-06,2020,03,06,67.2,6,56.7,6,9999.9,0,999.9,0,2.0,6,2.3,6,4.1,999.9,71.6,*,48.2,,0.2,G,999.9,1,0,1,1,0,10110
234430,99999,2020-10-06,2020,10,06,31.2,6,30.3,6,1011.6,6,5.0,6,13.5,6,3.9,6,5.8,999.9,34.5,,27.3,,0.09,F,999.9,1,1,1,0,0,11100
233300,99999,2020-10-06,2020,10,06,36.2,6,28.4,6,1021.8,6,19.7,6,9.3,6,5.8,6,7.8,999.9,39.2,,33.6,*,0.0,H,999.9,1,0,1,0,0,10100
480800,99999,2020-04-27,2020,04,27,86.5,6,74.2,6,1012.0,6,11.0,6,5.2,6,2.1,6,5.1,999.9,95.9,*,75.7,,0.08,E,999.9,1,0,1,1,0,10110
480800,99999,2020-05-18,2020,05,18,88.0,6,76.9,6,1003.5,6,2.5,6,4.9,6,1.5,6,4.9,999.9,102.2,,75.2,,0.2,E,999.9,1,0,1,1,0,10110
966950,99999,2020-07-23,2020,07,23,77.8,6,76.4,6,1008.9,6,8.6,6,3.5,6,1.3,6,2.9,999.9,81.5,,76.6,,2.36,B,999.9,1,0,1,1,0,10110
289780,99999,2020-09-22,2020,09,22,40.1,6,38.5,6,1010.4,6,962.4,6,999.9,0,7.4,6,9.7,999.9,41.5,,34.9,,99.99,,999.9,1,0,1,0,0,10100
480620,99999,2020-10-17,2020,10,17,85.3,6,81.3,6,1005.8,6,12.3,6,3.5,6,2.6,6,4.1,999.9,91.8,,72.1,,0.12,E,999.9,1,0,1,1,0,10110
644520,99999,2020-08-31,2020,08,31,80.8,6,70.6,6,9999.9,0,999.9,0,5.8,6,2.7,6,4.1,999.9,88.7,*,75.2,*,99.99,,999.9,1,0,1,1,0,10110
266530,99999,2020-01-22,2020,01,22,35.4,6,30.9,6,1008.3,6,991.8,6,6.7,6,3.9,6,5.8,999.9,39.4,,32.7,*,0.24,F,999.9,1,0,1,0,0,10100
369820,99999,2020-07-11,2020,07,11,37.9,6,31.3,6,9999.9,0,655.4,6,21.7,4,5.8,6,11.7,999.9,46.4,,32.2,,0.05,F,999.9,1,0,1,0,0,10100
356870,99999,2020-10-28,2020,10,28,30.5,6,24.4,6,1030.0,6,972.8,6,999.9,0,12,6,19.4,999.9,34.7,,28.8,*,99.99,,999.9,1,1,1,0,0,11100
419630,99999,2020-09-01,2020,09,01,82.9,6,80.8,6,1006.0,6,5.7,6,2.2,6,1.3,6,2.9,999.9,87.8,,77.2,,1.38,G,999.9,1,0,1,1,0,10110
404350,99999,2020-07-06,2020,07,06,100.9,6,37.7,6,992.7,5,898.7,6,6.2,6,6,6,8,999.9,111.2,,81.7,,99.99,,999.9,1,0,1,1,0,10110
480960,99999,2020-08-22,2020,08,22,78.0,6,76.5,6,1007.3,6,6.2,6,3.4,6,7.8,6,25.1,999.9,86.0,,76.1,,0.35,E,999.9,1,0,1,1,0,10110
480800,99999,2020-05-28,2020,05,28,80.8,6,75.7,6,1007.9,6,6.9,6,4.5,6,1.1,6,3.9,999.9,84.2,*,75.2,*,99.99,,999.9,1,0,1,1,0,10110
480960,99999,2020-10-17,2020,10,17,81.2,6,77.5,6,1005.5,6,4.1,6,3.5,6,5.2,6,7,999.9,88.7,,76.1,,0.79,E,999.9,1,0,1,1,0,10110
333770,99999,2020-01-23,2020,01,23,31.2,6,23.4,6,1017.9,6,998.0,6,6.2,6,9.7,6,13.6,999.9,32.7,,29.8,*,0.05,F,0.4,1,1,1,0,0,11100
369820,99999,2020-07-31,2020,07,31,43.6,6,34.6,6,9999.9,0,658.4,6,17.1,4,4.2,6,7.8,999.9,55.9,,33.4,*,0.04,E,999.9,1,1,0,1,0,11010
352340,99999,2020-10-22,2020,10,22,30.9,6,23.9,6,1020.2,6,978.0,6,999.9,0,8.7,6,13.6,999.9,35.4,,24.4,,99.99,,999.9,1,0,1,0,0,10100
333250,99999,2020-02-24,2020,02,24,36.6,6,32.3,6,1004.6,5,975.4,6,5.0,6,4.9,6,7.8,999.9,40.6,,33.8,,0.23,F,999.9,1,0,1,0,0,10100
335060,99999,2020-12-03,2020,12,03,27.6,6,25.9,6,1029.2,6,8.7,6,4.3,6,5.5,6,5.8,999.9,29.3,,25.3,,0.03,F,0.4,1,0,1,0,0,10100
350780,99999,2020-10-27,2020,10,27,31.8,6,25.7,6,1004.2,6,966.9,6,999.9,0,16.5,6,21.4,999.9,33.4,,28.9,*,99.99,,999.9,1,0,1,0,0,10100
766750,99999,2020-07-06,2020,07,06,59.6,6,50.6,6,1010.9,6,738.9,6,8.9,6,2.6,6,3.9,999.9,71.6,,48.9,,0.0,G,999.9,1,0,1,1,0,10110
480800,99999,2020-09-08,2020,09,08,81.1,6,77.8,6,1007.2,6,6.2,6,4.9,6,1.5,6,5.1,999.9,91.4,*,73.4,,0.2,E,999.9,1,0,1,1,0,10110
578530,99999,2020-03-26,2020,03,26,71.8,6,63.7,6,1009.1,6,970.0,6,8.4,6,3.3,6,5.8,999.9,81.3,,61.7,,0.06,G,999.9,1,0,1,0,0,10100
544050,99999,2020-09-15,2020,09,15,59.9,7,50.3,7,1007.7,7,942.3,7,13.6,7,5.4,7,9.3,23.7,77.5,,53.6,,0.89,G,999.9,1,0,1,0,0,10100
577930,99999,2020-08-31,2020,08,31,87.1,7,70.5,7,1007.5,7,992.6,7,8.4,7,3.1,7,3.9,999.9,97.3,,74.5,,0.0,G,999.9,1,0,1,0,0,10100
368890,99999,2020-06-05,2020,06,05,41.2,7,33.2,7,9999.9,0,999.9,0,25.1,5,7.8,6,11.7,999.9,46.8,,36.7,*,99.99,,999.9,1,1,1,0,0,11100
572450,99999,2020-02-26,2020,02,26,53.9,7,44.3,7,1023.3,7,988.3,7,10.6,7,4.3,7,6.8,14.2,61.3,,43.2,,0.14,G,999.9,1,0,1,0,0,10100
592540,99999,2020-02-14,2020,02,14,71.5,7,67.8,7,1009.7,7,994.4,7,9.0,7,7.4,7,10.9,35.0,79.2,,64.9,,1.89,G,999.9,1,0,1,0,0,10100
419290,99999,2020-05-15,2020,05,15,81.8,7,76.2,7,1004.5,7,3.6,7,3.7,7,0.8,7,1.9,999.9,94.3,,74.8,,0.88,G,999.9,1,0,1,1,0,10110
506580,99999,2020-08-09,2020,08,09,68.4,7,65.4,7,994.9,7,961.6,7,13.2,7,7.3,7,10.5,19.8,76.8,,61.7,,0.49,G,999.9,1,0,1,0,0,10100
